,type,F,M,total_count,F_percentage
0,absent_minded_professor,0,5,5,0.0
1,adventurer_archaeologist,1,3,4,25.0
2,arrogant_kungfu_guy,1,8,9,11.11111111111111
3,big_man_on_campus,0,7,7,0.0
4,bounty_hunter,0,10,10,0.0
5,brainless_beauty,7,5,12,58.333333333333336
6,broken_bird,4,1,5,80.0
7,bromantic_foil,0,5,5,0.0
8,bruiser_with_a_soft_center,0,3,3,0.0
9,bully,1,2,3,33.33333333333333
10,byronic_hero,0,17,17,0.0
11,casanova,0,7,7,0.0
12,chanteuse,6,0,6,100.0
13,charmer,0,7,7,0.0
14,child_prodigy,0,2,2,0.0
15,classy_cat_burglar,1,0,1,100.0
16,consummate_professional,0,4,4,0.0
17,corrupt_corporate_executive,0,23,23,0.0
18,coward,0,6,6,0.0
19,crazy_jealous_guy,0,25,25,0.0
20,crazy_survivalist,0,3,3,0.0
21,cultured_badass,0,8,8,0.0
22,dean_bitterman,0,4,4,0.0
23,dirty_cop,0,7,7,0.0
24,ditz,1,6,7,14.285714285714285
25,doormat,1,3,4,25.0
26,drill_sargeant_nasty,0,6,6,0.0
27,dumb_blonde,10,1,11,90.9090909090909
28,dumb_muscle,0,4,4,0.0
29,eccentric_mentor,2,3,5,40.0
30,egomaniac_hunter,0,7,7,0.0
31,evil_prince,0,7,7,0.0
32,fastest_gun_in_the_west,0,7,7,0.0
33,father_to_his_men,0,15,15,0.0
34,final_girl,6,0,6,100.0
35,gadgeteer_genius,0,7,7,0.0
36,gentleman_thief,0,6,6,0.0
37,granola_person,4,4,8,50.0
38,grumpy_old_man,0,5,5,0.0
39,hardboiled_detective,0,8,8,0.0
40,heartbroken_badass,1,6,7,14.285714285714285
41,henpecked_husband,0,5,5,0.0
42,hitman_with_a_heart,0,10,10,0.0
43,jerk_jock,0,9,9,0.0
44,junkie_prophet,2,0,2,100.0
45,klutz,1,1,2,50.0
46,loser_protagonist,0,6,6,0.0
47,loveable_rogue,0,9,9,0.0
48,master_swordsman,0,12,12,0.0
49,morally_bankrupt_banker,0,3,3,0.0
50,officer_and_a_gentleman,0,4,4,0.0
51,ophelia,5,0,5,100.0
52,playful_hacker,0,5,5,0.0
53,prima_donna,6,0,6,100.0
54,psycho_for_hire,0,16,16,0.0
55,pupil_turned_to_evil,0,2,2,0.0
56,retired_outlaw,0,6,6,0.0
57,revenge,0,6,6,0.0
58,romantic_runnerup,0,6,6,0.0
59,self_made_man,0,3,3,0.0
60,slacker,2,9,11,18.181818181818183
61,stoner,0,13,13,0.0
62,storyteller,1,3,4,25.0
63,stupid_crooks,0,5,5,0.0
64,surfer_dude,0,9,9,0.0
65,the_chief,0,3,3,0.0
66,the_editor,0,2,2,0.0
67,tranquil_fury,0,7,7,0.0
68,trickster,0,5,5,0.0
69,valley_girl,6,0,6,100.0
70,warrior_poet,0,9,9,0.0
71,young_gun,0,6,6,0.0
